Cliente_ID,Nombre,Categoría,Cantidad,Precio,Método de Pago,Fecha
1001,Cliente_1,Electrónica,2,45.50,PayPal,2024-01-01
1002,Cliente_2,Moda,1,30.00,Tarjeta de Crédito,2024-01-02
1003,Cliente_3,Hogar,3,25.75,Efectivo,2024-01-03
1004,Cliente_4,Deportes,4,50.00,Tarjeta de Crédito,2024-01-04
1005,Cliente_5,,2,40.00,PayPal,2024-01-05
1006,Cliente_6,Electrónica,6,75.25,Efectivo,2024-01-06
1007,Cliente_7,Electrónica,50,90.00,Tarjeta de Crédito,2024-01-07
1008,Cliente_8,Deportes,60,85.00,Efectivo,2024-01-08
1009,Cliente_9,Moda,5,32.50,PayPal,2024-01-09
1010,Cliente_10,Hogar,7,95.00,Efectivo,2024-01-10
1011,Cliente_11,Moda,3,,Efectivo,2024-01-11
1005,Cliente_5,,2,40.00,PayPal,2024-01-05
1007,Cliente_7,Electrónica,50,90.00,Tarjeta de Crédito,2024-01-07
1012,Cliente_12,Libros,2,15.99,PayPal,2024-01-12
1013,Cliente_13,Electrónica,1,120.00,Tarjeta de Crédito,2024-01-13
1014,Cliente_14,Moda,8,25.99,Efectivo,2024-01-14
1015,Cliente_15,Hogar,4,67.50,PayPal,2024-01-15
1016,Cliente_16,Deportes,2,89.99,Tarjeta de Crédito,2024-01-16
1017,Cliente_17,,3,45.00,Efectivo,2024-01-17
1018,Cliente_18,Electrónica,1,299.99,PayPal,2024-01-18
1019,Cliente_19,Libros,5,12.50,Efectivo,2024-01-19
1020,Cliente_20,Moda,1,78.00,Tarjeta de Crédito,2024-01-20
1021,Cliente_21,Hogar,9,55.25,PayPal,2024-01-21
1022,Cliente_22,Deportes,2,125.00,Efectivo,2024-01-22
1023,Cliente_23,Electrónica,100,150.00,Tarjeta de Crédito,2024-01-23
1024,Cliente_24,Libros,3,28.99,PayPal,2024-01-24
1025,Cliente_25,Moda,6,42.50,Efectivo,2024-01-25
1026,Cliente_26,,1,65.00,Tarjeta de Crédito,2024-01-26
1027,Cliente_27,Hogar,4,88.75,PayPal,2024-01-27
1028,Cliente_28,Deportes,7,72.00,Efectivo,2024-01-28
1029,Cliente_29,Electrónica,2,195.50,Tarjeta de Crédito,2024-01-29
1030,Cliente_30,Libros,8,22.99,PayPal,2024-01-30
1031,Cliente_31,Moda,1,,Efectivo,2024-01-31
1032,Cliente_32,Hogar,5,110.00,Tarjeta de Crédito,2024-02-01
1033,Cliente_33,Deportes,3,95.50,PayPal,2024-02-02
1034,Cliente_34,Electrónica,15,180.00,Efectivo,2024-02-03
1035,Cliente_35,Libros,2,19.99,Tarjeta de Crédito,2024-02-04
1036,Cliente_36,Moda,4,55.00,PayPal,2024-02-05
1037,Cliente_37,,6,75.25,Efectivo,2024-02-06
1038,Cliente_38,Hogar,1,125.50,Tarjeta de Crédito,2024-02-07
1039,Cliente_39,Deportes,8,68.99,PayPal,2024-02-08
1040,Cliente_40,Electrónica,3,220.00,Efectivo,2024-02-09
1041,Cliente_41,Libros,12,35.99,Tarjeta de Crédito,2024-02-10
1042,Cliente_42,Moda,2,92.50,PayPal,2024-02-11
1043,Cliente_43,Hogar,7,48.75,Efectivo,2024-02-12
1044,Cliente_44,Deportes,1,155.00,Tarjeta de Crédito,2024-02-13
