Ingredientes,Hidratacion,Absorcion,SPF,Tipo_de_Piel
Ácido Hialurónico,Alto,Medio,0,Seco
Retinol,Bajo,Alto,0,Graso
Vitamina C,Medio,Medio,30,Mixto
Aloe Vera,Alto,Bajo,15,Sensible
Niacinamida,Medio,Medio,0,Mixto
Ceramidas,Alto,Bajo,0,Seco
Ácido Salicílico,Bajo,Alto,0,Graso
Centella Asiática,Medio,Medio,20,Sensible
Extracto de Té Verde,Medio,Alto,0,Mixto
Manteca de Karité,Alto,Bajo,0,Seco
Extracto de Regaliz,Medio,Medio,15,Sensible
Vitamina E,Alto,Medio,25,Seco
Bakuchiol,Bajo,Medio,0,Mixto
Ácido Kójico,Medio,Alto,0,Graso
Beta-Glucanos,Alto,Bajo,10,Sensible
Resveratrol,Medio,Medio,20,Mixto
Péptidos,Bajo,Alto,0,Graso
Escualano,Alto,Medio,0,Seco
Arbutina,Medio,Alto,0,Mixto
Urea,Alto,Bajo,15,Sensible
